anchor,positive_schema
"Add an issue comment to drop a clarification comment on a ticket.","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Post a GitHub comment that will drop a clarification comment on a ticket.","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Leave a repository comment to drop a clarification comment on a ticket.","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Can you add an issue comment to leave a status update on issue 42?","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Could you post a GitHub comment to leave a status update on issue 42?","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Would you leave a comment that will leave a status update on issue 42?","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Can we comment on the issue to leave a status update on issue 42?","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Can you add an issue comment to add context to a bug report?","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Could you post a GitHub comment to add context to a bug report?","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Would you leave a comment that will add context to a bug report?","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Can we comment on the issue to add context to a bug report?","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Can you add an issue comment to post follow-up notes on a pull request?","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Could you post a GitHub comment to post follow-up notes on a pull request?","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Would you leave a comment that will post follow-up notes on a pull request?","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Can we comment on the issue to post follow-up notes on a pull request?","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Can you add an issue comment to reply on an issue with reproduction steps?","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Could you post a GitHub comment to reply on an issue with reproduction steps?","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Would you leave a comment that will reply on an issue with reproduction steps?","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Can we comment on the issue to reply on an issue with reproduction steps?","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Can you add an issue comment to drop a clarification comment on a ticket?","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Could you post a GitHub comment to drop a clarification comment on a ticket?","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Would you leave a comment that will drop a clarification comment on a ticket?","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Can we comment on the issue to drop a clarification comment on a ticket?","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"I need to leave a comment to leave a status update on issue 42.","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"I want to post a repository comment to leave a status update on issue 42.","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"I am trying to add a GitHub comment to leave a status update on issue 42.","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"I need to leave a comment to add context to a bug report.","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"I want to post a repository comment to add context to a bug report.","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"I am trying to add a GitHub comment to add context to a bug report.","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"I need to leave a comment to post follow-up notes on a pull request.","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"I want to post a repository comment to post follow-up notes on a pull request.","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"I am trying to add a GitHub comment to post follow-up notes on a pull request.","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"I need to leave a comment to reply on an issue with reproduction steps.","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"I want to post a repository comment to reply on an issue with reproduction steps.","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"I am trying to add a GitHub comment to reply on an issue with reproduction steps.","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"I need to leave a comment to drop a clarification comment on a ticket.","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"I want to post a repository comment to drop a clarification comment on a ticket.","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"I am trying to add a GitHub comment to drop a clarification comment on a ticket.","{""name"":""add_issue_comment"",""description"":""Add a comment to a specific issue in a GitHub repository. Use this tool to add comments to pull requests as well (in this case pass pull request number as issue_number), but only if user is not asking specifically to add review comments."",""inputSchema"":{""type"":""object"",""properties"":{""body"":{""type"":""string"",""description"":""Comment content""},""issue_number"":{""type"":""number"",""description"":""Issue number to comment on""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo"",""issue_number"",""body""]}}"
"Fork a repository to copy a public repo into my account.","{""name"":""fork_repository"",""description"":""Fork a GitHub repository to your account or specified organization"",""inputSchema"":{""type"":""object"",""properties"":{""organization"":{""type"":""string"",""description"":""Organization to fork to""},""owner"":{""type"":""string"",""description"":""Repository owner""},""repo"":{""type"":""string"",""description"":""Repository name""}},""required"":[""owner"",""repo""]}}"
