query_id,dataset,server,tool,scenario_id,origin,anchor,positive_schema
v1-0010,v1,github,search_repositories,v1:search_repositories:s17,author_template,Search repos focused on OCR document parsing.,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0011,v1,github,search_repositories,v1:search_repositories:s02,author_template,Find repositories for real-time chat apps in TypeScript.,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0012,v1,github,search_repositories,v1:search_repositories:s11,author_template,Search for starter repositories for retrieval-augmented generation systems.,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0013,v1,github,search_repositories,v1:search_repositories:s04,author_template,Locate repositories for observability dashboards and telemetry agents.,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0014,v1,github,search_repositories,v1:search_repositories:s06,author_template,Find repositories related to anomaly detection in time-series data.,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0015,v1,github,search_repositories,v1:search_repositories:s12,author_template,Where is the repository for the billing microservice?,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0016,v1,github,search_repositories,v1:search_repositories:s30,author_template,What repo contains the shared React component library?,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0017,v1,github,search_repositories,v1:search_repositories:s46,author_template,Which repository has the webhook retry logic?,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0018,v1,github,search_repositories,v1:search_repositories:s24,author_template,Do we already have a repo for offline-first sync?,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0019,v1,github,search_repositories,v1:search_repositories:s31,author_template,What is the repo that stores our logging utilities?,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0020,v1,github,search_repositories,v1:search_repositories:s26,author_template,Which repository handles SSO integration?,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0021,v1,github,search_repositories,v1:search_repositories:s38,author_template,Where can I find the codebase for the admin dashboard backend?,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0022,v1,github,search_repositories,v1:search_repositories:s44,author_template,What repo did we use for the semantic search prototype?,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0023,v1,github,search_repositories,v1:search_repositories:s45,author_template,Which repository contains the Terraform for staging?,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0024,v1,github,search_repositories,v1:search_repositories:s18,author_template,Do we have a public repo showing our CLI scaffolding pattern?,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0025,v1,github,search_repositories,v1:search_repositories:s39,author_template,What repository tracks the API gateway work?,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0026,v1,github,search_repositories,v1:search_repositories:s16,author_template,Which repo has the authentication middleware from last sprint?,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
