query_id,dataset,server,tool,scenario_id,origin,anchor,positive_schema
ms-0010,ms,atlassian,atlassian/getallsystemavatars,ms:atlassian/getallsystemavatars:s01,llm_claude_eval,What default avatar images does Jira offer for issue types?,"{""description"": ""Get system avatars by type. Returns a list of system avatar details by owner type, where the owner types are issue type, project, or user. This operation can be accessed anonymously. **[Permissions](#permissions) required:** None."", ""inputSchema"": {""properties"": {""type"": {""description"": ""The avatar type."", ""type"": ""string""}}, ""required"": [""type""], ""type"": ""object""}, ""name"": ""getallsystemavatars""}"
ms-0011,ms,atlassian,atlassian/getallsystemavatars,ms:atlassian/getallsystemavatars:s02,llm_claude_eval,"Show every stock avatar we can assign, grouped by owner type.","{""description"": ""Get system avatars by type. Returns a list of system avatar details by owner type, where the owner types are issue type, project, or user. This operation can be accessed anonymously. **[Permissions](#permissions) required:** None."", ""inputSchema"": {""properties"": {""type"": {""description"": ""The avatar type."", ""type"": ""string""}}, ""required"": [""type""], ""type"": ""object""}, ""name"": ""getallsystemavatars""}"
ms-0012,ms,atlassian,atlassian/getapplicationrole,ms:atlassian/getapplicationrole:s00,llm_claude_eval,Show the details of the jira-software application role.,"{""description"": ""Get application role. Returns an application role. **[Permissions](#permissions) required:** *Administer Jira* [global permission](https://confluence.atlassian.com/x/x4dKLg)."", ""inputSchema"": {""properties"": {""key"": {""description"": ""The key of the application role. Use the [Get all application roles](#api-rest-api-3-applicationrole-get) operation to get the key for each application role."", ""type"": ""string""}}, ""required"": [""key""], ""type"": ""object""}, ""name"": ""getapplicationrole""}"
ms-0013,ms,atlassian,atlassian/getapplicationrole,ms:atlassian/getapplicationrole:s01,llm_claude_eval,What does the application role with key jira-core contain?,"{""description"": ""Get application role. Returns an application role. **[Permissions](#permissions) required:** *Administer Jira* [global permission](https://confluence.atlassian.com/x/x4dKLg)."", ""inputSchema"": {""properties"": {""key"": {""description"": ""The key of the application role. Use the [Get all application roles](#api-rest-api-3-applicationrole-get) operation to get the key for each application role."", ""type"": ""string""}}, ""required"": [""key""], ""type"": ""object""}, ""name"": ""getapplicationrole""}"
ms-0014,ms,atlassian,atlassian/getapplicationrole,ms:atlassian/getapplicationrole:s02,llm_claude_eval,I want to inspect one specific application access role on our Jira site.,"{""description"": ""Get application role. Returns an application role. **[Permissions](#permissions) required:** *Administer Jira* [global permission](https://confluence.atlassian.com/x/x4dKLg)."", ""inputSchema"": {""properties"": {""key"": {""description"": ""The key of the application role. Use the [Get all application roles](#api-rest-api-3-applicationrole-get) operation to get the key for each application role."", ""type"": ""string""}}, ""required"": [""key""], ""type"": ""object""}, ""name"": ""getapplicationrole""}"
ms-0015,ms,atlassian,atlassian/getallapplicationroles,ms:atlassian/getallapplicationroles:s00,llm_claude_eval,List every application access role configured on this Jira instance.,"{""description"": ""Get all application roles. Returns all application roles. In Jira, application roles are managed using the [Application access configuration](https://confluence.atlassian.com/x/3YxjL) page. **[Permissions](#permissions) required:** *Administer Jira* [global permission](https://confluence.atlassian.com/x/x4dKLg)."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""getallapplicationroles""}"
ms-0016,ms,atlassian,atlassian/getallapplicationroles,ms:atlassian/getallapplicationroles:s01,llm_claude_eval,Which application roles exist and which groups are assigned to them?,"{""description"": ""Get all application roles. Returns all application roles. In Jira, application roles are managed using the [Application access configuration](https://confluence.atlassian.com/x/3YxjL) page. **[Permissions](#permissions) required:** *Administer Jira* [global permission](https://confluence.atlassian.com/x/x4dKLg)."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""getallapplicationroles""}"
ms-0017,ms,atlassian,atlassian/getallapplicationroles,ms:atlassian/getallapplicationroles:s02,llm_claude_eval,Give me an overview of all product access roles in Jira.,"{""description"": ""Get all application roles. Returns all application roles. In Jira, application roles are managed using the [Application access configuration](https://confluence.atlassian.com/x/3YxjL) page. **[Permissions](#permissions) required:** *Administer Jira* [global permission](https://confluence.atlassian.com/x/x4dKLg)."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""getallapplicationroles""}"
ms-0018,ms,box,box/put_comments_id,ms:box/put_comments_id:s00,llm_claude_eval,Change the text of my comment on that contract file.,"{""description"": ""Update comment. Update the message of a comment."", ""inputSchema"": {""properties"": {""comment_id"": {""description"": ""The ID of the comment."", ""type"": ""string""}, ""fields"": {""description"": ""A comma-separated list of attributes to include in the response. This can be used to request fields that are not normally returned in a standard response. Be aware that specifying this parameter will have the effect that none of the standard fields are returned in the response unless explicitly specified, instead only fields for the mini representation are returned, additional to the fields reques"", ""type"": ""array""}, ""message"": {""description"": ""The text of the comment to update"", ""type"": ""string""}}, ""required"": [""comment_id""], ""type"": ""object""}, ""name"": ""put_comments_id""}"
ms-0019,ms,box,box/put_comments_id,ms:box/put_comments_id:s01,llm_claude_eval,Edit the comment I left yesterday so it says 'final version approved'.,"{""description"": ""Update comment. Update the message of a comment."", ""inputSchema"": {""properties"": {""comment_id"": {""description"": ""The ID of the comment."", ""type"": ""string""}, ""fields"": {""description"": ""A comma-separated list of attributes to include in the response. This can be used to request fields that are not normally returned in a standard response. Be aware that specifying this parameter will have the effect that none of the standard fields are returned in the response unless explicitly specified, instead only fields for the mini representation are returned, additional to the fields reques"", ""type"": ""array""}, ""message"": {""description"": ""The text of the comment to update"", ""type"": ""string""}}, ""required"": [""comment_id""], ""type"": ""object""}, ""name"": ""put_comments_id""}"
ms-0020,ms,box,box/put_comments_id,ms:box/put_comments_id:s02,llm_claude_eval,Fix the typo in comment 88123 on the shared document.,"{""description"": ""Update comment. Update the message of a comment."", ""inputSchema"": {""properties"": {""comment_id"": {""description"": ""The ID of the comment."", ""type"": ""string""}, ""fields"": {""description"": ""A comma-separated list of attributes to include in the response. This can be used to request fields that are not normally returned in a standard response. Be aware that specifying this parameter will have the effect that none of the standard fields are returned in the response unless explicitly specified, instead only fields for the mini representation are returned, additional to the fields reques"", ""type"": ""array""}, ""message"": {""description"": ""The text of the comment to update"", ""type"": ""string""}}, ""required"": [""comment_id""], ""type"": ""object""}, ""name"": ""put_comments_id""}"
ms-0021,ms,box,box/delete_collaborations_id,ms:box/delete_collaborations_id:s00,llm_claude_eval,Remove the external partner's access to the shared folder.,"{""description"": ""Remove collaboration. Deletes a single collaboration."", ""inputSchema"": {""properties"": {""collaboration_id"": {""description"": ""The ID of the collaboration"", ""type"": ""string""}}, ""required"": [""collaboration_id""], ""type"": ""object""}, ""name"": ""delete_collaborations_id""}"
ms-0022,ms,box,box/delete_collaborations_id,ms:box/delete_collaborations_id:s01,llm_claude_eval,Revoke that collaboration we set up for the contractor.,"{""description"": ""Remove collaboration. Deletes a single collaboration."", ""inputSchema"": {""properties"": {""collaboration_id"": {""description"": ""The ID of the collaboration"", ""type"": ""string""}}, ""required"": [""collaboration_id""], ""type"": ""object""}, ""name"": ""delete_collaborations_id""}"
ms-0023,ms,box,box/delete_collaborations_id,ms:box/delete_collaborations_id:s02,llm_claude_eval,Take away the agency's shared access - the engagement ended.,"{""description"": ""Remove collaboration. Deletes a single collaboration."", ""inputSchema"": {""properties"": {""collaboration_id"": {""description"": ""The ID of the collaboration"", ""type"": ""string""}}, ""required"": [""collaboration_id""], ""type"": ""object""}, ""name"": ""delete_collaborations_id""}"
ms-0024,ms,box,box/get_collaboration_whitelist_entries_id,ms:box/get_collaboration_whitelist_entries_id:s00,llm_claude_eval,Show the details of that approved collaboration domain entry.,"{""description"": ""Get allowed collaboration domain. Returns a domain that has been deemed safe to create collaborations for within the current enterprise."", ""inputSchema"": {""properties"": {""collaboration_whitelist_entry_id"": {""description"": ""The ID of the entry in the list."", ""type"": ""string""}}, ""required"": [""collaboration_whitelist_entry_id""], ""type"": ""object""}, ""name"": ""get_collaboration_whitelist_entries_id""}"
ms-0025,ms,box,box/get_collaboration_whitelist_entries_id,ms:box/get_collaboration_whitelist_entries_id:s01,llm_claude_eval,Which domain does allow-list entry 4321 cover?,"{""description"": ""Get allowed collaboration domain. Returns a domain that has been deemed safe to create collaborations for within the current enterprise."", ""inputSchema"": {""properties"": {""collaboration_whitelist_entry_id"": {""description"": ""The ID of the entry in the list."", ""type"": ""string""}}, ""required"": [""collaboration_whitelist_entry_id""], ""type"": ""object""}, ""name"": ""get_collaboration_whitelist_entries_id""}"
ms-0026,ms,box,box/get_collaboration_whitelist_entries_id,ms:box/get_collaboration_whitelist_entries_id:s02,llm_claude_eval,Look up the safelisted external domain record by its id.,"{""description"": ""Get allowed collaboration domain. Returns a domain that has been deemed safe to create collaborations for within the current enterprise."", ""inputSchema"": {""properties"": {""collaboration_whitelist_entry_id"": {""description"": ""The ID of the entry in the list."", ""type"": ""string""}}, ""required"": [""collaboration_whitelist_entry_id""], ""type"": ""object""}, ""name"": ""get_collaboration_whitelist_entries_id""}"
ms-0027,ms,circleci,circleci/post_project_username_project_build_num_cancel,ms:circleci/post_project_username_project_build_num_cancel:s00,llm_claude_eval,"Stop build 1542 of the backend project, it's stuck.","{""description"": ""Cancels the build, returns a summary of the build."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""post_project_username_project_build_num_cancel""}"
ms-0028,ms,circleci,circleci/post_project_username_project_build_num_cancel,ms:circleci/post_project_username_project_build_num_cancel:s01,llm_claude_eval,Cancel the running CI build for our web app.,"{""description"": ""Cancels the build, returns a summary of the build."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""post_project_username_project_build_num_cancel""}"
ms-0029,ms,circleci,circleci/post_project_username_project_build_num_cancel,ms:circleci/post_project_username_project_build_num_cancel:s02,llm_claude_eval,That pipeline run is wasting credits - kill it.,"{""description"": ""Cancels the build, returns a summary of the build."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""post_project_username_project_build_num_cancel""}"
ms-0030,ms,circleci,circleci/post_project_username_project_ssh_key,ms:circleci/post_project_username_project_ssh_key:s00,llm_claude_eval,Add an SSH key so the build can reach our private artifact server.,"{""description"": ""Create an ssh key used to access external systems that require SSH key-based authentication"", ""inputSchema"": {""properties"": {""hostname"": {""description"": ""The hostname field"", ""type"": ""string""}, ""private_key"": {""description"": ""The private_key field"", ""type"": ""string""}}, ""required"": [], ""type"": ""object""}, ""name"": ""post_project_username_project_ssh_key""}"
ms-0031,ms,circleci,circleci/post_project_username_project_ssh_key,ms:circleci/post_project_username_project_ssh_key:s01,llm_claude_eval,The deploy step needs key-based access to the bastion - set that up for the project.,"{""description"": ""Create an ssh key used to access external systems that require SSH key-based authentication"", ""inputSchema"": {""properties"": {""hostname"": {""description"": ""The hostname field"", ""type"": ""string""}, ""private_key"": {""description"": ""The private_key field"", ""type"": ""string""}}, ""required"": [], ""type"": ""object""}, ""name"": ""post_project_username_project_ssh_key""}"
ms-0032,ms,circleci,circleci/post_project_username_project_ssh_key,ms:circleci/post_project_username_project_ssh_key:s02,llm_claude_eval,Register a new SSH identity for this repository's CI jobs.,"{""description"": ""Create an ssh key used to access external systems that require SSH key-based authentication"", ""inputSchema"": {""properties"": {""hostname"": {""description"": ""The hostname field"", ""type"": ""string""}, ""private_key"": {""description"": ""The private_key field"", ""type"": ""string""}}, ""required"": [], ""type"": ""object""}, ""name"": ""post_project_username_project_ssh_key""}"
ms-0033,ms,circleci,circleci/get_me,ms:circleci/get_me:s00,llm_claude_eval,Which account am I logged into CircleCI as?,"{""description"": ""Provides information about the signed in user."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""get_me""}"
ms-0034,ms,circleci,circleci/get_me,ms:circleci/get_me:s01,llm_claude_eval,Show my own CI user profile.,"{""description"": ""Provides information about the signed in user."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""get_me""}"
ms-0035,ms,circleci,circleci/get_me,ms:circleci/get_me:s02,llm_claude_eval,Who am I according to the CI service?,"{""description"": ""Provides information about the signed in user."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""get_me""}"
ms-0036,ms,digitalocean,digitalocean/oneclicks_list,ms:digitalocean/oneclicks_list:s00,llm_claude_eval,What one-click applications can I install on a droplet?,"{""description"": ""List 1-Click Applications. To list all available 1-Click applications, send a GET request to `/v2/1-clicks`. The `type` may be provided as query paramater in order to restrict results to a certain type of 1-Click, for example: `/v2/1-clicks?type=droplet`. Current supported types are `kubernetes` and `droplet`. The response will be a JSON object with a key called `1_clicks`. This will be set to an "", ""inputSchema"": {""properties"": {""type"": {""description"": ""Restrict results to a certain type of 1-Click."", ""type"": ""string""}}, ""required"": [], ""type"": ""object""}, ""name"": ""oneclicks_list""}"
ms-0037,ms,digitalocean,digitalocean/oneclicks_list,ms:digitalocean/oneclicks_list:s01,llm_claude_eval,List the ready-made app images available in the marketplace.,"{""description"": ""List 1-Click Applications. To list all available 1-Click applications, send a GET request to `/v2/1-clicks`. The `type` may be provided as query paramater in order to restrict results to a certain type of 1-Click, for example: `/v2/1-clicks?type=droplet`. Current supported types are `kubernetes` and `droplet`. The response will be a JSON object with a key called `1_clicks`. This will be set to an "", ""inputSchema"": {""properties"": {""type"": {""description"": ""Restrict results to a certain type of 1-Click."", ""type"": ""string""}}, ""required"": [], ""type"": ""object""}, ""name"": ""oneclicks_list""}"
ms-0038,ms,digitalocean,digitalocean/oneclicks_list,ms:digitalocean/oneclicks_list:s02,llm_claude_eval,"Show me every 1-click app option, including kubernetes ones.","{""description"": ""List 1-Click Applications. To list all available 1-Click applications, send a GET request to `/v2/1-clicks`. The `type` may be provided as query paramater in order to restrict results to a certain type of 1-Click, for example: `/v2/1-clicks?type=droplet`. Current supported types are `kubernetes` and `droplet`. The response will be a JSON object with a key called `1_clicks`. This will be set to an "", ""inputSchema"": {""properties"": {""type"": {""description"": ""Restrict results to a certain type of 1-Click."", ""type"": ""string""}}, ""required"": [], ""type"": ""object""}, ""name"": ""oneclicks_list""}"
ms-0039,ms,digitalocean,digitalocean/apps_list_regions,ms:digitalocean/apps_list_regions:s00,llm_claude_eval,Which regions can App Platform deploy to?,"{""description"": ""List App Regions. List all regions supported by App Platform."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""apps_list_regions""}"
ms-0040,ms,digitalocean,digitalocean/apps_list_regions,ms:digitalocean/apps_list_regions:s01,llm_claude_eval,Show the datacenter locations supported for app hosting.,"{""description"": ""List App Regions. List all regions supported by App Platform."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""apps_list_regions""}"
ms-0041,ms,digitalocean,digitalocean/apps_list_regions,ms:digitalocean/apps_list_regions:s02,llm_claude_eval,Where geographically can I run an app on this platform?,"{""description"": ""List App Regions. List all regions supported by App Platform."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""apps_list_regions""}"
ms-0042,ms,digitalocean,digitalocean/apps_get_deployment,ms:digitalocean/apps_get_deployment:s00,llm_claude_eval,Show the status of deployment 7f2a of the storefront app.,"{""description"": ""Retrieve an App Deployment. Retrieve information about an app deployment."", ""inputSchema"": {""properties"": {""deployment_id"": {""description"": ""The deployment ID"", ""type"": ""string""}}, ""required"": [""deployment_id""], ""type"": ""object""}, ""name"": ""apps_get_deployment""}"
ms-0043,ms,digitalocean,digitalocean/apps_get_deployment,ms:digitalocean/apps_get_deployment:s01,llm_claude_eval,"Get the details for that specific app deployment, including its phase.","{""description"": ""Retrieve an App Deployment. Retrieve information about an app deployment."", ""inputSchema"": {""properties"": {""deployment_id"": {""description"": ""The deployment ID"", ""type"": ""string""}}, ""required"": [""deployment_id""], ""type"": ""object""}, ""name"": ""apps_get_deployment""}"
ms-0044,ms,digitalocean,digitalocean/apps_get_deployment,ms:digitalocean/apps_get_deployment:s02,llm_claude_eval,What happened with the latest deployment of my app? Pull its record.,"{""description"": ""Retrieve an App Deployment. Retrieve information about an app deployment."", ""inputSchema"": {""properties"": {""deployment_id"": {""description"": ""The deployment ID"", ""type"": ""string""}}, ""required"": [""deployment_id""], ""type"": ""object""}, ""name"": ""apps_get_deployment""}"
ms-0045,ms,docusign,docusign/billingplan_getdowngraderequestbillinginfo,ms:docusign/billingplan_getdowngraderequestbillinginfo:s00,llm_claude_eval,What would downgrading our e-signature plan look like billing-wise?,"{""description"": ""Returns downgrade plan information for the specified account."", ""inputSchema"": {""properties"": {""accountId"": {""description"": ""The external account number (int) or account ID GUID."", ""type"": ""string""}}, ""required"": [""accountId""], ""type"": ""object""}, ""name"": ""billingplan_getdowngraderequestbillinginfo""}"
ms-0046,ms,docusign,docusign/billingplan_getdowngraderequestbillinginfo,ms:docusign/billingplan_getdowngraderequestbillinginfo:s01,llm_claude_eval,Show the billing details for the pending plan downgrade on this account.,"{""description"": ""Returns downgrade plan information for the specified account."", ""inputSchema"": {""properties"": {""accountId"": {""description"": ""The external account number (int) or account ID GUID."", ""type"": ""string""}}, ""required"": [""accountId""], ""type"": ""object""}, ""name"": ""billingplan_getdowngraderequestbillinginfo""}"
ms-0047,ms,docusign,docusign/billingplan_getdowngraderequestbillinginfo,ms:docusign/billingplan_getdowngraderequestbillinginfo:s02,llm_claude_eval,We asked to move to a cheaper plan - retrieve the downgrade information.,"{""description"": ""Returns downgrade plan information for the specified account."", ""inputSchema"": {""properties"": {""accountId"": {""description"": ""The external account number (int) or account ID GUID."", ""type"": ""string""}}, ""required"": [""accountId""], ""type"": ""object""}, ""name"": ""billingplan_getdowngraderequestbillinginfo""}"
ms-0048,ms,docusign,docusign/serviceinformation_getresourceinformation,ms:docusign/serviceinformation_getresourceinformation:s00,llm_claude_eval,List the base endpoints this e-signature API version exposes.,"{""description"": ""Lists resources for REST version specified. Retrieves the base resources available for the eSignature REST API. You do not need an integrator key to view the REST API versions and resources."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""serviceinformation_getresourceinformation""}"
ms-0049,ms,docusign,docusign/serviceinformation_getresourceinformation,ms:docusign/serviceinformation_getresourceinformation:s01,llm_claude_eval,What top-level resources are available in the REST service?,"{""description"": ""Lists resources for REST version specified. Retrieves the base resources available for the eSignature REST API. You do not need an integrator key to view the REST API versions and resources."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""serviceinformation_getresourceinformation""}"
ms-0050,ms,docusign,docusign/serviceinformation_getresourceinformation,ms:docusign/serviceinformation_getresourceinformation:s02,llm_claude_eval,Enumerate the API's root resources for the current version.,"{""description"": ""Lists resources for REST version specified. Retrieves the base resources available for the eSignature REST API. You do not need an integrator key to view the REST API versions and resources."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""serviceinformation_getresourceinformation""}"
ms-0051,ms,docusign,docusign/brands_deletebrands,ms:docusign/brands_deletebrands:s00,llm_claude_eval,Remove the old company branding profiles from the account.,"{""description"": ""Deletes one or more brand profiles.. This method deletes one or more brand profiles from an account, based on the brand IDs that you include in the `brandsRequest`. Either or both of the following settings must be enabled for the account to use this method: - `canSelfBrandSign` - `canSelfBrandSend` ### Related topics - [How to create a brand](/docs/esign-rest-api/how-to/create-brand/)"", ""inputSchema"": {""properties"": {""accountId"": {""description"": ""The external account number (int) or account ID GUID."", ""type"": ""string""}}, ""required"": [""accountId""], ""type"": ""object""}, ""name"": ""brands_deletebrands""}"
ms-0052,ms,docusign,docusign/brands_deletebrands,ms:docusign/brands_deletebrands:s01,llm_claude_eval,Delete the two outdated signing brands we no longer use.,"{""description"": ""Deletes one or more brand profiles.. This method deletes one or more brand profiles from an account, based on the brand IDs that you include in the `brandsRequest`. Either or both of the following settings must be enabled for the account to use this method: - `canSelfBrandSign` - `canSelfBrandSend` ### Related topics - [How to create a brand](/docs/esign-rest-api/how-to/create-brand/)"", ""inputSchema"": {""properties"": {""accountId"": {""description"": ""The external account number (int) or account ID GUID."", ""type"": ""string""}}, ""required"": [""accountId""], ""type"": ""object""}, ""name"": ""brands_deletebrands""}"
ms-0053,ms,docusign,docusign/brands_deletebrands,ms:docusign/brands_deletebrands:s02,llm_claude_eval,Clean up the unused brand themes from our e-signature settings.,"{""description"": ""Deletes one or more brand profiles.. This method deletes one or more brand profiles from an account, based on the brand IDs that you include in the `brandsRequest`. Either or both of the following settings must be enabled for the account to use this method: - `canSelfBrandSign` - `canSelfBrandSend` ### Related topics - [How to create a brand](/docs/esign-rest-api/how-to/create-brand/)"", ""inputSchema"": {""properties"": {""accountId"": {""description"": ""The external account number (int) or account ID GUID."", ""type"": ""string""}}, ""required"": [""accountId""], ""type"": ""object""}, ""name"": ""brands_deletebrands""}"
ms-0054,ms,launchdarkly,launchdarkly/getroot,ms:launchdarkly/getroot:s00,llm_claude_eval,What resource categories does the feature flag API expose at its root?,"{""description"": ""You can issue a GET request to the root resource to find all of the resource categories supported by the API."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""getroot""}"
ms-0055,ms,launchdarkly,launchdarkly/getroot,ms:launchdarkly/getroot:s01,llm_claude_eval,Show the top-level resources I can navigate to in LaunchDarkly.,"{""description"": ""You can issue a GET request to the root resource to find all of the resource categories supported by the API."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""getroot""}"
ms-0056,ms,launchdarkly,launchdarkly/getroot,ms:launchdarkly/getroot:s02,llm_claude_eval,Hit the API root and tell me which collections exist.,"{""description"": ""You can issue a GET request to the root resource to find all of the resource categories supported by the API."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""getroot""}"
ms-0057,ms,launchdarkly,launchdarkly/getauditlogentries,ms:launchdarkly/getauditlogentries:s00,llm_claude_eval,Who changed flag settings last week? Pull the audit trail.,"{""description"": ""Get a list of all audit log entries. The query parameters allow you to restrict the returned results by date ranges, resource specifiers, or a full-text search query."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""getauditlogentries""}"
ms-0058,ms,launchdarkly,launchdarkly/getauditlogentries,ms:launchdarkly/getauditlogentries:s01,llm_claude_eval,Show the audit log entries between Monday and Friday.,"{""description"": ""Get a list of all audit log entries. The query parameters allow you to restrict the returned results by date ranges, resource specifiers, or a full-text search query."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""getauditlogentries""}"
ms-0059,ms,launchdarkly,launchdarkly/getauditlogentries,ms:launchdarkly/getauditlogentries:s02,llm_claude_eval,I need the change history records filtered by date for compliance.,"{""description"": ""Get a list of all audit log entries. The query parameters allow you to restrict the returned results by date ranges, resource specifiers, or a full-text search query."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""getauditlogentries""}"
ms-0060,ms,launchdarkly,launchdarkly/getfeatureflag,ms:launchdarkly/getfeatureflag:s00,llm_claude_eval,Show the configuration of the dark-mode feature flag.,"{""description"": ""Get a single feature flag by key."", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""getfeatureflag""}"
