anchor,positive_schema
"Search repos focused on OCR document parsing.","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Find repositories for real-time chat apps in TypeScript.","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Search for starter repositories for retrieval-augmented generation systems.","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Locate repositories for observability dashboards and telemetry agents.","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Find repositories related to anomaly detection in time-series data.","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Where is the repository for the billing microservice?","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"What repo contains the shared React component library?","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Which repository has the webhook retry logic?","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Do we already have a repo for offline-first sync?","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"What is the repo that stores our logging utilities?","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Which repository handles SSO integration?","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Where can I find the codebase for the admin dashboard backend?","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"What repo did we use for the semantic search prototype?","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Which repository contains the Terraform for staging?","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Do we have a public repo showing our CLI scaffolding pattern?","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"What repository tracks the API gateway work?","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Which repo has the authentication middleware from last sprint?","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Where is the source for the data quality framework?","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"What repo contains the benchmark suite for database performance?","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
